nama;tempat_lahir;tanggal_lahir;nisn;nis;kelas;tingkatan_kelas;alamat;kontak;foto;nama_ibu;nama_ayah;jenis_kelamin;walikelas_id
SISWA 123;Kota 1;05/03/2009;12345031;6789031;XII-B;XII;Jl. Dummy No.1;81264057953;;Ibu Dummy 1;Ayah Dummy 1;P;1
SISWA 124;Kota 2;23/07/2006;12345032;6789032;XII-A;XII;Jl. Dummy No.2;81229930281;;Ibu Dummy 2;Ayah Dummy 2;P;2
SISWA 125;Kota 3;04/02/2010;12345033;6789033;XII-A;XII;Jl. Dummy No.3;81244732978;;Ibu Dummy 3;Ayah Dummy 3;L;3
SISWA 126;Kota 4;14/07/2007;12345034;6789034;XII-C;XII;Jl. Dummy No.4;81297009014;;Ibu Dummy 4;Ayah Dummy 4;P;1
SISWA 127;Kota 5;25/04/2010;12345035;6789035;XII-A;XII;Jl. Dummy No.5;81295340528;;Ibu Dummy 5;Ayah Dummy 5;L;2
SISWA 128;Kota 6;10/06/2009;12345036;6789036;XII-C;XII;Jl. Dummy No.6;81215329708;;Ibu Dummy 6;Ayah Dummy 6;L;3
SISWA 129;Kota 7;21/02/2010;12345037;6789037;XII-C;XII;Jl. Dummy No.7;81255290455;;Ibu Dummy 7;Ayah Dummy 7;L;1
SISWA 130;Kota 8;26/10/2006;12345038;6789038;XII-A;XII;Jl. Dummy No.8;81256782230;;Ibu Dummy 8;Ayah Dummy 8;L;2
SISWA 131;Kota 9;19/11/2009;12345039;6789039;XII-C;XII;Jl. Dummy No.9;81213185406;;Ibu Dummy 9;Ayah Dummy 9;L;3
SISWA 132;Kota 10;27/08/2008;12345040;6789040;XII-B;XII;Jl. Dummy No.10;81253519074;;Ibu Dummy 10;Ayah Dummy 10;L;1
SISWA 133;Kota 11;15/02/2010;12345041;6789041;XII-A;XII;Jl. Dummy No.11;81276388948;;Ibu Dummy 11;Ayah Dummy 11;L;2
SISWA 134;Kota 12;26/04/2007;12345042;6789042;XII-A;XII;Jl. Dummy No.12;81211322320;;Ibu Dummy 12;Ayah Dummy 12;P;3
SISWA 135;Kota 13;12/12/2008;12345043;6789043;XII-A;XII;Jl. Dummy No.13;81259969677;;Ibu Dummy 13;Ayah Dummy 13;L;1
SISWA 136;Kota 14;24/01/2009;12345044;6789044;XII-A;XII;Jl. Dummy No.14;81239204319;;Ibu Dummy 14;Ayah Dummy 14;P;2
SISWA 137;Kota 15;25/07/2007;12345045;6789045;XII-A;XII;Jl. Dummy No.15;81228141719;;Ibu Dummy 15;Ayah Dummy 15;P;3
SISWA 138;Kota 16;03/10/2008;12345046;6789046;XII-B;XII;Jl. Dummy No.16;81285674186;;Ibu Dummy 16;Ayah Dummy 16;L;1
SISWA 139;Kota 17;31/12/2007;12345047;6789047;XII-A;XII;Jl. Dummy No.17;81259599460;;Ibu Dummy 17;Ayah Dummy 17;L;2
SISWA 140;Kota 18;12/10/2007;12345048;6789048;XII-A;XII;Jl. Dummy No.18;81289410311;;Ibu Dummy 18;Ayah Dummy 18;L;3
SISWA 141;Kota 19;12/06/2008;12345049;6789049;XII-C;XII;Jl. Dummy No.19;81277140587;;Ibu Dummy 19;Ayah Dummy 19;L;1
SISWA 142;Kota 20;03/12/2006;12345050;6789050;XII-C;XII;Jl. Dummy No.20;81226145633;;Ibu Dummy 20;Ayah Dummy 20;P;2
SISWA 143;Kota 21;21/05/2008;12345051;6789051;XII-B;XII;Jl. Dummy No.21;81224375289;;Ibu Dummy 21;Ayah Dummy 21;L;3
SISWA 144;Kota 22;19/05/2007;12345052;6789052;XII-B;XII;Jl. Dummy No.22;81255065565;;Ibu Dummy 22;Ayah Dummy 22;P;1
SISWA 145;Kota 23;13/07/2006;12345053;6789053;XII-A;XII;Jl. Dummy No.23;81259376209;;Ibu Dummy 23;Ayah Dummy 23;P;2
SISWA 146;Kota 24;09/07/2006;12345054;6789054;XII-C;XII;Jl. Dummy No.24;81274199260;;Ibu Dummy 24;Ayah Dummy 24;P;3
SISWA 147;Kota 25;02/07/2007;12345055;6789055;XII-A;XII;Jl. Dummy No.25;81214912788;;Ibu Dummy 25;Ayah Dummy 25;L;1
SISWA 148;Kota 26;29/04/2009;12345056;6789056;XII-B;XII;Jl. Dummy No.26;81251915679;;Ibu Dummy 26;Ayah Dummy 26;P;2
SISWA 149;Kota 27;12/03/2007;12345057;6789057;XII-C;XII;Jl. Dummy No.27;81273131933;;Ibu Dummy 27;Ayah Dummy 27;L;3
SISWA 150;Kota 28;10/11/2006;12345058;6789058;XII-C;XII;Jl. Dummy No.28;81229858193;;Ibu Dummy 28;Ayah Dummy 28;L;1
SISWA 151;Kota 29;02/12/2007;12345059;6789059;XII-B;XII;Jl. Dummy No.29;81246249055;;Ibu Dummy 29;Ayah Dummy 29;P;2
